Year,Subject_Name,Subject_Code,URL
First,Mathematics-I,23BS1001,https://drive.google.com/drive/folders/17l4gdTP55iZYR2PX_vqyFpoXbbxYpHlq
First,Mathematics-II,RMA2A001,https://drive.google.com/drive/folders/1YSKfdoFWPNpuI3Dlw9ivvtI3CHiOBdyu
First,Physics,23BS1002,https://drive.google.com/drive/folders/1D7PtrrReaSkNwtkJ0-wBk3q1VHXg6LR4
First,Chemistry,23BS1003,https://drive.google.com/drive/folders/1izWJa3Q_E4sMNNSTacuAMJIw_Xo4BVXq
First,Basic Electrical Engineering,23ES1001,https://drive.google.com/drive/folders/149duLntAG9nVbWaAn1JHHspWcrSrOhWj
First,Basic Electronics,23ES1002,https://drive.google.com/drive/folders/1XSahOVTbp-PuTN17uSluJkJYaKIN6Upz
First,Basic Mechanical Engineering,RBM1B001,https://drive.google.com/drive/folders/1sd6iXaY8zLnMMJLV27WCNkPpBBBecpRz
First,Basic Civil Engineering,RBC1B002,https://drive.google.com/drive/folders/1oqynWg4wVj75Kq3gA8YBk28Ji_cZ6rIO
First,Programming in C and Data Structures,23ES1003,https://drive.google.com/drive/folders/1st4flWwm_SfuqZFYQd0gvh1vm5yKlI2a
First,Engineering Mechanics,REM2B001,https://drive.google.com/drive/u/0/folders/1x8ZjXP0KQDgZ1k3pMT_HL0K_vW9xfpjG
First,English for Technical Writing,23HS1002,https://drive.google.com/drive/u/0/folders/1lvDEYptNK1NVYK3_CcmYIfpBD3Col_MO
First,Universal Human Values,23HS1001,https://drive.google.com/drive/folders/19-QUoBGAtR79Za8a75uWy4xo-Q2MwfW5
3rd_MME,Engineering Economics,HSHS2001,https://drive.google.com/drive/u/0/folders/1m1xwkaxaZw3IlffQXsLZamA-_rP_1DLs
3rd_MME,Organizational Behaviour,HSHS2002,https://drive.google.com/drive/folders/1hnuKL3rnFliqTFZ5ffCceMZaEO_nFBXc
3rd_MME,Elements of Process Metallur,MTPC2003,https://drive.google.com/drive/folders/1iN8PCAiBlnY-4FpnHVCWOrF036mgdqee
3rd_MME,Science and Engineering of Materials,MTPC2002,https://drive.google.com/drive/folders/1xElk2XfVIY_-6tJVNdMPM3k6-14vr-ge
3rd_MME,Metallurgical Thermodynamics and Kinetics,MTPC2001,https://drive.google.com/drive/folders/1EqFRnO7rTBl4tZuKT3jaT_P1EpYxl_AP
3rd_MME,Mathematics-III,HSBS2001,https://drive.google.com/drive/folders/1uffhAHdeRUUe8BI1jrsiDuDCVFA47eAI
3rd_AE,Mechanics of Solids,MEPC2001,https://drive.google.com/drive/folders/1wddz-uK5TEHifDeHsxAuoqUYkII8Rku2
3rd_AE,Introduction to Physical Metallurgy and Engineering Materials,MFPC2002,https://drive.google.com/drive/folders/1YSbH1Uqhqqdp9VdGvUQSAZRjvNqLQFrd
3rd_AE,Manufacturing Technology I,MFPC2001,https://drive.google.com/drive/folders/1OyLv2MIKLSR210bvUpjUlvd7CDS1GLSI
3rd_CE,Mechanical Operation,CEPC2003,https://drive.google.com/drive/folders/13ZzWkGggEuJoZCLxphRP7g3NraVOMPyL
3rd_CE,Chemical Process Calculation,CEPC2002,https://drive.google.com/drive/folders/1mF4envQwveaijdPK847rOMd7-L_5b2gp
3rd_CE,Fuel and Energy Technology,CEPC2001,https://drive.google.com/drive/folders/1QHcq29ZJ4-T4zt8mqG2tEFgPWpRA2sGB
3rd_CSE,Object Oriented Programming,CSPC2003,https://drive.google.com/drive/folders/13_yupB-HOEk_jZP7hRs8fobcIabWOmMK
3rd_CSE,Data Structures,CSPC2002,https://drive.google.com/drive/folders/1T2PRk45yMeqiQ3-8Q_8kwGg7gQgtPv2V
3rd_CSE,Digital Electronics,EOPC2004,https://drive.google.com/drive/folders/1XLuMgig3SpjEoVA0U6GcXgdk2HVGwOqv
3rd_ETC,Signals and Systems,EOPC2003,https://drive.google.com/drive/folders/1BzTRmr4kyTl057PiyHjO4ggnK9FiDeft
3rd_ETC,Electrical Circuit Analysis,EEPC2001,https://drive.google.com/drive/folders/1QSKlOwnMlyGpOSlULcEo_HA6jJomILjW
3rd_ETC,Analog Electronic Circuits,EOPC2001,https://drive.google.com/drive/folders/1Zy0J_cknNoCOtHRlo5QYbANOHlKLTJP1
3rd_EE,Analog and Digital Electronic Circuits,EOPC2002,https://drive.google.com/drive/folders/133YTtcxZnn9c8zf77jAkLU5qcDRYR3xn
3rd_EE,Electrical_Machines-I,EEPC2002,https://drive.google.com/drive/folders/1UYZ0DaagbEICmSC6pdO_p6mue7O8JKu3
3rd_EE,Electrical Circuit Analysis,EEPC2001,https://drive.google.com/drive/folders/1iWCagx_hxGOgPhAcbVuYfhbKUWMPyGaB
3rd_ME,Introduction to Physical Metallurgy and Engineering Materials,MFPC2002,https://drive.google.com/drive/folders/1rHY2T_IYSUL-v3Z177VufwS16qZ5xuJb
3rd_ME,Engineering Thermodynamics,MEPC2002,https://drive.google.com/drive/folders/12o45BiM5z4zo6cii2aUSh_VGtY0ZqO5T
3rd_ME,Mechanics of Solids,MEPC2001,https://drive.google.com/drive/folders/1Jc0sgqXvrhyIwpWbM44g9aKYW7KcIv-M
3rd_CE,Fluid Mechanics,CIPC2003,https://drive.google.com/drive/folders/1N3D8-fzjECpPcdDEKVZTLYpW6gSCSRbc
3rd_CE,Engineering Survey,CIPC2002,https://drive.google.com/drive/folders/1aiLw9NAshoNK-gqkFQI_X8RLMM20OWj1
3rd_CE,Mechanics of Solids,MEPC2001,https://drive.google.com/drive/folders/1wLf-6LUphsgbAOyQ0PfrwCmlogiK0x9B